epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.7636,1.11412,1.92414,1.51283,0.5443,0.40265,0.42558,0.18954,1.82154,3.33793,2.38969,0.000662698,0.000662698,0.000662698
2,100.044,1.19171,1.59572,1.57507,0.35794,0.47378,0.32575,0.14057,1.75697,2.80539,2.34374,0.00130743,0.00130743,0.00130743
3,147.419,1.24121,1.53874,1.61577,0.54055,0.53326,0.56126,0.35656,1.48413,1.73537,1.98578,0.00193016,0.00193016,0.00193016
4,194.598,1.19429,1.44064,1.58542,0.5063,0.47875,0.47467,0.24394,1.60952,1.8251,2.09957,0.001901,0.001901,0.001901
5,242.093,1.16713,1.43245,1.55892,0.7556,0.5864,0.6697,0.42641,1.27929,1.47231,1.79184,0.001868,0.001868,0.001868
6,288.04,1.1228,1.32168,1.52369,0.70269,0.5959,0.67202,0.43994,1.3109,1.52567,1.84956,0.001835,0.001835,0.001835
7,335.009,1.09406,1.28605,1.49915,0.64498,0.60057,0.63048,0.41567,1.30833,1.48447,1.83481,0.001802,0.001802,0.001802
8,382.364,1.07029,1.24805,1.4813,0.76912,0.5949,0.7057,0.44347,1.27178,1.37694,1.73196,0.001769,0.001769,0.001769
9,428.502,1.02597,1.16524,1.44952,0.74225,0.6289,0.73516,0.51402,1.13879,1.20163,1.62914,0.001736,0.001736,0.001736
10,476.082,0.99474,1.11782,1.42647,0.74467,0.64589,0.72921,0.49861,1.19594,1.25205,1.68407,0.001703,0.001703,0.001703
11,522.827,0.9801,1.13111,1.41446,0.81924,0.56657,0.69058,0.484,1.16564,1.27735,1.65544,0.00167,0.00167,0.00167
12,570.141,0.98338,1.09791,1.41781,0.78965,0.60615,0.7247,0.4955,1.19588,1.23253,1.70543,0.001637,0.001637,0.001637
13,617.79,0.95587,1.04687,1.3956,0.77804,0.68516,0.74835,0.52413,1.09924,1.24694,1.54074,0.001604,0.001604,0.001604
14,664.068,0.95686,1.04096,1.39311,0.83929,0.69688,0.78966,0.56516,1.06538,1.06964,1.52758,0.001571,0.001571,0.001571
15,711.072,0.93511,1.02107,1.36817,0.73552,0.58297,0.68609,0.47265,1.10495,1.33937,1.5411,0.001538,0.001538,0.001538
16,758.383,0.92624,1.01216,1.3791,0.76518,0.69122,0.74733,0.53659,1.03954,1.1024,1.49923,0.001505,0.001505,0.001505
17,804.818,0.92938,0.98666,1.36298,0.73144,0.71671,0.78497,0.57101,1.02804,1.02743,1.47587,0.001472,0.001472,0.001472
18,852.423,0.90956,0.96935,1.3571,0.84819,0.69122,0.81515,0.59815,0.98742,0.96094,1.46717,0.001439,0.001439,0.001439
19,899.905,0.90005,0.95188,1.34245,0.79221,0.66289,0.77401,0.55116,1.06525,1.00843,1.55287,0.001406,0.001406,0.001406
20,946.575,0.91546,0.94858,1.36321,0.87562,0.69688,0.81344,0.58912,0.97787,0.94739,1.47056,0.001373,0.001373,0.001373
21,992.601,0.88693,0.90612,1.33793,0.84369,0.72805,0.81918,0.60166,0.97969,0.9188,1.4395,0.00134,0.00134,0.00134
22,1039.73,0.87755,0.91879,1.32311,0.84722,0.72262,0.82952,0.59024,1.03512,0.93392,1.52151,0.001307,0.001307,0.001307
23,1086.09,0.86398,0.88839,1.31261,0.84264,0.75847,0.82916,0.59995,0.96606,0.94404,1.43146,0.001274,0.001274,0.001274
24,1132.67,0.85257,0.8946,1.30738,0.86014,0.73371,0.83211,0.61579,0.97859,0.87763,1.46446,0.001241,0.001241,0.001241
25,1179.49,0.8491,0.8574,1.30497,0.86767,0.74296,0.83752,0.62759,0.94171,0.85465,1.41053,0.001208,0.001208,0.001208
26,1225.79,0.84697,0.862,1.30439,0.86154,0.72805,0.82908,0.61853,0.96177,0.88452,1.42408,0.001175,0.001175,0.001175
27,1271.6,0.83977,0.82969,1.29073,0.85205,0.75046,0.84151,0.61713,0.96334,0.87109,1.41968,0.001142,0.001142,0.001142
28,1318.89,0.84374,0.85002,1.28839,0.87339,0.74258,0.84418,0.64254,0.90659,0.7951,1.37877,0.001109,0.001109,0.001109
29,1366.37,0.84312,0.83544,1.29596,0.82056,0.79024,0.84625,0.63198,0.92916,0.79324,1.39203,0.001076,0.001076,0.001076
30,1412.21,0.8336,0.81977,1.29421,0.87234,0.78187,0.85703,0.64271,0.92868,0.81938,1.38296,0.001043,0.001043,0.001043
31,1459.72,0.82439,0.8211,1.28275,0.84935,0.76662,0.85039,0.63698,0.93016,0.81895,1.37093,0.00101,0.00101,0.00101
32,1506.86,0.81798,0.80643,1.27578,0.83677,0.7762,0.85695,0.65299,0.89774,0.78337,1.34605,0.000977,0.000977,0.000977
33,1553,0.78663,0.76756,1.2529,0.82198,0.79789,0.85226,0.63905,0.9226,0.83804,1.39389,0.000944,0.000944,0.000944
34,1599.93,0.79329,0.77119,1.25779,0.82808,0.7914,0.85298,0.64687,0.87195,0.79704,1.33856,0.000911,0.000911,0.000911
35,1646.33,0.7875,0.77239,1.25518,0.8485,0.7762,0.85055,0.64456,0.9209,0.80725,1.37351,0.000878,0.000878,0.000878
36,1692.03,0.79038,0.76981,1.25808,0.86478,0.7609,0.85762,0.65618,0.9167,0.77883,1.37258,0.000845,0.000845,0.000845
37,1738.57,0.78908,0.76269,1.26556,0.89234,0.77485,0.867,0.66185,0.90324,0.77729,1.34843,0.000812,0.000812,0.000812
38,1785.72,0.77642,0.73675,1.24048,0.88383,0.8017,0.8697,0.66432,0.89369,0.73474,1.34448,0.000779,0.000779,0.000779
39,1831.82,0.77087,0.72069,1.23669,0.84964,0.81637,0.87059,0.66155,0.8811,0.73744,1.3453,0.000746,0.000746,0.000746
40,1879.26,0.76829,0.73494,1.23342,0.90555,0.81482,0.88225,0.6716,0.91852,0.70934,1.37097,0.000713,0.000713,0.000713
41,1926.16,0.77146,0.71408,1.23555,0.90906,0.79037,0.88451,0.66693,0.88029,0.72889,1.33576,0.00068,0.00068,0.00068
42,1972.09,0.76412,0.74627,1.23686,0.84145,0.81185,0.86605,0.66162,0.884,0.73844,1.34768,0.000647,0.000647,0.000647
43,2018.73,0.76239,0.7068,1.23438,0.85264,0.81303,0.88542,0.68225,0.85856,0.71834,1.31265,0.000614,0.000614,0.000614
44,2065.89,0.7396,0.69693,1.21888,0.86512,0.8017,0.87251,0.67147,0.85455,0.72254,1.3121,0.000581,0.000581,0.000581
45,2111.46,0.73439,0.69191,1.21234,0.86253,0.8017,0.87106,0.68146,0.83991,0.68882,1.3107,0.000548,0.000548,0.000548
46,2158.4,0.75683,0.69715,1.23,0.88045,0.80453,0.88941,0.6887,0.83936,0.68352,1.29957,0.000515,0.000515,0.000515
47,2204.99,0.73501,0.66921,1.2096,0.84088,0.83853,0.88623,0.69478,0.83531,0.68567,1.29006,0.000482,0.000482,0.000482
48,2250.79,0.73874,0.65631,1.2092,0.87711,0.83286,0.89379,0.69037,0.84036,0.66037,1.30751,0.000449,0.000449,0.000449
49,2297.32,0.71082,0.64739,1.19401,0.89503,0.83003,0.89436,0.68652,0.83273,0.67659,1.29946,0.000416,0.000416,0.000416
50,2344.21,0.7294,0.6505,1.2092,0.9145,0.81811,0.89569,0.68725,0.83648,0.66268,1.30066,0.000383,0.000383,0.000383
51,2390.92,0.66654,0.56367,1.17708,0.88653,0.83569,0.89142,0.70006,0.81496,0.65274,1.28078,0.00035,0.00035,0.00035
52,2436.02,0.66954,0.53495,1.17425,0.88277,0.8187,0.87934,0.69416,0.81785,0.65452,1.28667,0.000317,0.000317,0.000317
53,2481.19,0.64409,0.50568,1.1623,0.88089,0.81586,0.89179,0.69222,0.81125,0.65756,1.27303,0.000284,0.000284,0.000284
54,2525.7,0.62975,0.49289,1.15257,0.87298,0.8272,0.89677,0.7027,0.82033,0.63428,1.28186,0.000251,0.000251,0.000251
55,2571.48,0.61162,0.47034,1.13715,0.88786,0.85227,0.8965,0.70512,0.80318,0.62929,1.2714,0.000218,0.000218,0.000218
56,2616.52,0.6169,0.47105,1.13978,0.88859,0.84703,0.89567,0.70983,0.80145,0.64101,1.2677,0.000185,0.000185,0.000185
57,2661.92,0.6065,0.44689,1.13339,0.90966,0.82725,0.89539,0.70925,0.81364,0.64113,1.2864,0.000152,0.000152,0.000152
58,2706.86,0.60144,0.446,1.12282,0.88105,0.86028,0.90145,0.71038,0.80376,0.63124,1.2775,0.000119,0.000119,0.000119
59,2752.46,0.60428,0.46144,1.13242,0.88413,0.83286,0.89558,0.7091,0.80859,0.63385,1.28185,8.6e-05,8.6e-05,8.6e-05
60,2796.31,0.59383,0.49798,1.11481,0.87457,0.84986,0.89409,0.70945,0.79842,0.61972,1.26908,5.3e-05,5.3e-05,5.3e-05
